# Matter power spectrum P(k) at redshift z=0
# for k=1.05076e-05 to 8.19543 h/Mpc,
# number of wavenumbers equal to 1964
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.362927348794e-02       2.403716793731e+04 
       1.375922051782e-02       2.407734230437e+04 
       1.388920396887e-02       2.411540364567e+04 
       1.401922396599e-02       2.415152947304e+04 
       1.414928065700e-02       2.418557482730e+04 
       1.427937421230e-02       2.421754864910e+04 
       1.440950482457e-02       2.424673498206e+04 
       1.453967270845e-02       2.427564303001e+04 
       1.466987810031e-02       2.430181044793e+04 
       1.480012125798e-02       2.432604434362e+04 
       1.493040246064e-02       2.434751781186e+04 
       1.506072200856e-02       2.436896454340e+04 
       1.519108022300e-02       2.438691940950e+04 
       1.532147744611e-02       2.440369937060e+04 
       1.545191404081e-02       2.441966439202e+04 
       1.558239039073e-02       2.443302712774e+04 
       1.571290690018e-02       2.444475298983e+04 
       1.584346399412e-02       2.445351874692e+04 
       1.597406211812e-02       2.446193858687e+04 
       1.610470173847e-02       2.446933437045e+04 
       1.623538334212e-02       2.447426527834e+04 
       1.636610743681e-02       2.447756290279e+04 
       1.649687455113e-02       2.447927915383e+04 
       1.662768523461e-02       2.447953544575e+04 
       1.675854005783e-02       2.447801425326e+04 
       1.688943961258e-02       2.447457554787e+04 
       1.702038451199e-02       2.447061471718e+04 
       1.715137539073e-02       2.446466394966e+04 
       1.728241290514e-02       2.445660071603e+04 
       1.741349773351e-02       2.444843246906e+04 
       1.754463057624e-02       2.443825613463e+04 
       1.767581215612e-02       2.442593693493e+04 
       1.780704321856e-02       2.441344307906e+04 
       1.793832453186e-02       2.439836247822e+04 
       1.806965688753e-02       2.438333143873e+04 
       1.820104110056e-02       2.436534386969e+04 
       1.833247800976e-02       2.434779562450e+04 
       1.846396847811e-02       2.432784797656e+04 
       1.859551339308e-02       2.430743454278e+04 
       1.872711366703e-02       2.428468696499e+04 
       1.885877023761e-02       2.426113160820e+04 
       1.899048406812e-02       2.423733625086e+04 
       1.912225614800e-02       2.421065457978e+04 
       1.925408749321e-02       2.418363548425e+04 
       1.938597914671e-02       2.415563898734e+04 
       1.951793217897e-02       2.412727526858e+04 
       1.964994768840e-02       2.409612568696e+04 
       1.978202680194e-02       2.406571465133e+04 
       1.991417067551e-02       2.403326508381e+04 
       2.004638049464e-02       2.399876498631e+04 
       2.017865747499e-02       2.396510289558e+04 
       2.031100286294e-02       2.392944692415e+04 
       2.044341793625e-02       2.389226287777e+04 
       2.057590400462e-02       2.385444276680e+04 
       2.070846241043e-02       2.381676952598e+04 
       2.084109452931e-02       2.377650277351e+04 
       2.097380177094e-02       2.373606765228e+04 
       2.110658557969e-02       2.369550142215e+04 
       2.123944743540e-02       2.365267348563e+04 
       2.137238885416e-02       2.361017138021e+04 
       2.150541138907e-02       2.356559024539e+04 
       2.163851663104e-02       2.352068711504e+04 
       2.177170620971e-02       2.347513520899e+04 
       2.190498179423e-02       2.342863663186e+04 
       2.203834509420e-02       2.338132275746e+04 
       2.217179786059e-02       2.333322334413e+04 
       2.230534188670e-02       2.328446257486e+04 
       2.243897900911e-02       2.323506348081e+04 
       2.257271110873e-02       2.318467924196e+04 
       2.270654011183e-02       2.313328398815e+04 
       2.284046799110e-02       2.308177449439e+04 
       2.297449676680e-02       2.302911623721e+04 
       2.310862850787e-02       2.297614698570e+04 
       2.324286533311e-02       2.292225546053e+04 
       2.337720941246e-02       2.286792751553e+04 
       2.351166296815e-02       2.281259900608e+04 
       2.364622827611e-02       2.275680421157e+04 
       2.378090766722e-02       2.270055459728e+04 
       2.391570352875e-02       2.264378479312e+04 
       2.405061830573e-02       2.258606445444e+04 
       2.418565450247e-02       2.252791368219e+04 
       2.432081468404e-02       2.246947424566e+04 
       2.445610147785e-02       2.241004931723e+04 
       2.459151757527e-02       2.235041920734e+04 
       2.472706573329e-02       2.229024016282e+04 
       2.486274877623e-02       2.222933826554e+04 
       2.499856959753e-02       2.216832917580e+04 
       2.513453116161e-02       2.210638807158e+04 
       2.527063650571e-02       2.204411887009e+04 
       2.540688874189e-02       2.198146671869e+04 
       2.554329105906e-02       2.191839770045e+04 
       2.567984672505e-02       2.185489753905e+04 
       2.581655908876e-02       2.179096225353e+04 
       2.595343158245e-02       2.172655977752e+04 
       2.609046772400e-02       2.166184526160e+04 
       2.622767111932e-02       2.159671727818e+04 
       2.636504546481e-02       2.153121350476e+04 
       2.650259454997e-02       2.146529968896e+04 
       2.664032225996e-02       2.139906104049e+04 
       2.677823257843e-02       2.133252915195e+04 
       2.691632959029e-02       2.126563647457e+04 
       2.705461748470e-02       2.119837625705e+04 
       2.719310055806e-02       2.113092339896e+04 
       2.733178321723e-02       2.106301939783e+04 
       2.747066998273e-02       2.099493613280e+04 
       2.760976549217e-02       2.092656801172e+04 
       2.774907450374e-02       2.085805239685e+04 
       2.788860189986e-02       2.078896052312e+04 
       2.802835269097e-02       2.071973294432e+04 
       2.816833201940e-02       2.065034222802e+04 
       2.830854516350e-02       2.058065344945e+04 
       2.844899754182e-02       2.051073882946e+04 
       2.858969471748e-02       2.044074892292e+04 
       2.873064240278e-02       2.037032961943e+04 
       2.887184646388e-02       2.029991599767e+04 
       2.901331292571e-02       2.022919305783e+04 
       2.915504797714e-02       2.015833823598e+04 
       2.929705797621e-02       2.008736497955e+04 
       2.943934945573e-02       2.001613017084e+04 
       2.958192912899e-02       1.994474343189e+04 
       2.972480389576e-02       1.987327208553e+04 
       2.986798084851e-02       1.980158970477e+04 
       3.001146727891e-02       1.972988511299e+04 
       3.015527068461e-02       1.965798911649e+04 
       3.029939877624e-02       1.958589468101e+04 
       3.044385948480e-02       1.951374239331e+04 
       3.058866096933e-02       1.944183160706e+04 
       3.073381162486e-02       1.936937644954e+04 
       3.087932009078e-02       1.929675477248e+04 
       3.102519525957e-02       1.922422491511e+04 
       3.117144628587e-02       1.915187532156e+04 
       3.131808259599e-02       1.907913521505e+04 
       3.146511389788e-02       1.900627209959e+04 
       3.161255019147e-02       1.893358589478e+04 
       3.176040177959e-02       1.886078681432e+04 
       3.190867927932e-02       1.878791985934e+04 
       3.205739363390e-02       1.871492374373e+04 
       3.220655612522e-02       1.864190197399e+04 
       3.235617838686e-02       1.856885737687e+04 
       3.250627241784e-02       1.849584248708e+04 
       3.265685059696e-02       1.842260539875e+04 
       3.280792569789e-02       1.834964085014e+04 
       3.295951090499e-02       1.827653120023e+04 
       3.311161982994e-02       1.820342104008e+04 
       3.326426652924e-02       1.813036721506e+04 
       3.341746552250e-02       1.805710144648e+04 
       3.357123181184e-02       1.798418476748e+04 
       3.372558090217e-02       1.791105336693e+04 
       3.388052882260e-02       1.783785240096e+04 
       3.403609214897e-02       1.776466093429e+04 
       3.419228802765e-02       1.769161784424e+04 
       3.434913420056e-02       1.761873905936e+04 
       3.450664903163e-02       1.754567344649e+04 
       3.466485153470e-02       1.747271606851e+04 
       3.482376140306e-02       1.739957558447e+04 
       3.498339904055e-02       1.732684279749e+04 
       3.514378559459e-02       1.725386922701e+04 
       3.530494299104e-02       1.718099148144e+04 
       3.546689397117e-02       1.710821104339e+04 
       3.562966213080e-02       1.703531615410e+04 
       3.579327196185e-02       1.696249906555e+04 
       3.595774889638e-02       1.688996828875e+04 
       3.612311935339e-02       1.681713801305e+04 
       3.628941078853e-02       1.674476638051e+04 
       3.645665174696e-02       1.667189548375e+04 
       3.662487191962e-02       1.659957015684e+04 
       3.679410220315e-02       1.652697719781e+04 
       3.696437476373e-02       1.645455110881e+04 
       3.713572310523e-02       1.638217327846e+04 
       3.730818214186e-02       1.630988348482e+04 
       3.748178827593e-02       1.623781378353e+04 
       3.765657948090e-02       1.616540931589e+04 
       3.783259539026e-02       1.609326227495e+04 
       3.800987739282e-02       1.602107167593e+04 
       3.818846873483e-02       1.594902498543e+04 
       3.836841462956e-02       1.587694409997e+04 
       3.854976237506e-02       1.580504411335e+04 
       3.873256148080e-02       1.573318385344e+04 
       3.891686380394e-02       1.566118556129e+04 
       3.910272369622e-02       1.558937696013e+04 
       3.929019816237e-02       1.551752114321e+04 
       3.947934703129e-02       1.544574225016e+04 
       3.967023314096e-02       1.537425203477e+04 
       3.986292253876e-02       1.530227314375e+04 
       4.005748469847e-02       1.523059083631e+04 
       4.025399275576e-02       1.515890665696e+04 
       4.045252376410e-02       1.508729304812e+04 
       4.065315897310e-02       1.501560745001e+04 
       4.085598413178e-02       1.494394370705e+04 
       4.106108981946e-02       1.487235291644e+04 
       4.126857180718e-02       1.480074110600e+04 
       4.147853145326e-02       1.472909586097e+04 
       4.169107613667e-02       1.465744028347e+04 
       4.190631973282e-02       1.458572077487e+04 
       4.212438313654e-02       1.451406270765e+04 
       4.234539483810e-02       1.444228658809e+04 
       4.256949155868e-02       1.437049838734e+04 
       4.279681895272e-02       1.429869680269e+04 
       4.302753238562e-02       1.422680513993e+04 
       4.326179779665e-02       1.415482704893e+04 
       4.349979265823e-02       1.408277395396e+04 
       4.374170704467e-02       1.401059968593e+04 
       4.398774482543e-02       1.393837391524e+04 
       4.423812500032e-02       1.386603103473e+04 
       4.449308319730e-02       1.379377803792e+04 
       4.475287335636e-02       1.372081649352e+04 
       4.501776962781e-02       1.364799662067e+04 
       4.528806851765e-02       1.357500823625e+04 
       4.556409131884e-02       1.350198487673e+04 
       4.584618687453e-02       1.342865562642e+04 
       4.613473472777e-02       1.335457658389e+04 
       4.643014872277e-02       1.328088671816e+04 
       4.673288113584e-02       1.320681872649e+04 
       4.704342742951e-02       1.313221792783e+04 
       4.736233174296e-02       1.305714731614e+04 
       4.769019325576e-02       1.298182272720e+04 
       4.802767359136e-02       1.290612365467e+04 
       4.837550546417e-02       1.283011886501e+04 
       4.873450281977e-02       1.275325530230e+04 
       4.910557277629e-02       1.267619852031e+04 
       4.948972974802e-02       1.259859334036e+04 
       4.988811222492e-02       1.251999719700e+04 
       5.030200279946e-02       1.244072922096e+04 
       5.073285218183e-02       1.236015726328e+04 
       5.118230813508e-02       1.227922378856e+04 
       5.165225050548e-02       1.219707311652e+04 
       5.214483383189e-02       1.211459947351e+04 
       5.266253941017e-02       1.203006041349e+04 
       5.320823917860e-02       1.194448334524e+04 
       5.378527439354e-02       1.185698395138e+04 
       5.439755278294e-02       1.176770316798e+04 
       5.504966866979e-02       1.167589019203e+04 
       5.574705135058e-02       1.158191713659e+04 
       5.649614755072e-02       1.148495453868e+04 
       5.730464351751e-02       1.138418903450e+04 
       5.818173013752e-02       1.127886368191e+04 
       5.913840819700e-02       1.116795958796e+04 
       6.018781651159e-02       1.105045715787e+04 
       6.134553623233e-02       1.092414287496e+04 
       6.262976987959e-02       1.078681064227e+04 
       6.406120241648e-02       1.063426474107e+04 
       6.566222463929e-02       1.046203725090e+04 
       6.745508382399e-02       1.026410765904e+04 
       6.945857767133e-02       1.003379342286e+04 
       7.168340805221e-02       9.763592103228e+03 
       7.412744110284e-02       9.447578277375e+03 
       7.677332751688e-02       9.083655062244e+03 
       7.959068212046e-02       8.675806168240e+03 
       8.254245737210e-02       8.235935855081e+03 
       8.559232005811e-02       7.780211059732e+03 
