# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 20000, i.e. number of multipoles equal to 19999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.680227984374e-10       8.958722063517e-15       2.173437232565e-13       7.720049805387e-17       7.761925033404e-11       8.117806392439e-12      -9.701628163153e-15 
   43       1.704575454594e-10       9.683704450359e-15       2.050616166812e-13       8.092563337884e-17       7.391716510299e-11       7.761603730203e-12      -8.439144315799e-15 
   44       1.729198241488e-10       1.044483379562e-14       1.912248273087e-13       8.474077489784e-17       7.045220247452e-11       7.426847091196e-12      -7.212124544467e-15 
   45       1.754138809407e-10       1.124251183412e-14       1.759230019349e-13       8.864596625521e-17       6.719066386870e-11       7.111068430178e-12      -6.385612300107e-15 
   46       1.779411966881e-10       1.207720172673e-14       1.591531336019e-13       9.264116792784e-17       6.412742913369e-11       6.814021337257e-12      -5.994515668575e-15 
   47       1.805002965246e-10       1.294935110827e-14       1.408861172991e-13       9.672629239219e-17       6.125894410398e-11       6.535467419365e-12      -5.968869153917e-15 
   48       1.830865143684e-10       1.385936182068e-14       1.210918792952e-13       1.009012163664e-16       5.857255440512e-11       6.274296017848e-12      -6.218530299420e-15 
   49       1.856917297067e-10       1.480758817607e-14       9.973919035456e-14       1.051657790423e-16       5.604582863125e-11       6.028458742593e-12      -6.631975376202e-15 
   50       1.883076516734e-10       1.579431548201e-14       7.679541940655e-14       1.095197863114e-16       5.365331713591e-11       5.795579242078e-12      -7.096312999306e-15 
   51       1.909373328484e-10       1.681969277543e-14       5.222614906332e-14       1.139630288948e-16       5.139056144547e-11       5.575129520771e-12      -7.566523335620e-15 
   52       1.935863257650e-10       1.788377882767e-14       2.599513287277e-14       1.184952660784e-16       4.925543200048e-11       5.366731196707e-12      -8.012931370150e-15 
   53       1.962593147690e-10       1.898655768382e-14      -1.935839342409e-15       1.231162186996e-16       4.724094298464e-11       5.169499005575e-12      -8.401430667464e-15 
   54       1.989600197348e-10       2.012793599689e-14      -3.160713107001e-14       1.278255676619e-16       4.533492541358e-11       4.982007110647e-12      -8.693277550983e-15 
   55       2.016911375832e-10       2.130777751294e-14      -6.305520857026e-14       1.326229905806e-16       4.352374187494e-11       4.802727196793e-12      -8.857376616122e-15 
   56       2.044543703993e-10       2.252602266535e-14      -9.629229478272e-14       1.375082857874e-16       4.180526032429e-11       4.631547378926e-12      -8.911182753733e-15 
   57       2.072502356504e-10       2.378259402102e-14      -1.313219930865e-13       1.424812765289e-16       4.017853064793e-11       4.468571612223e-12      -8.889599556238e-15 
   58       2.100779362488e-10       2.507736054057e-14      -1.681450322160e-13       1.475417755338e-16       3.863985963215e-11       4.313665991681e-12      -8.833652965276e-15 
   59       2.129352657403e-10       2.641013636002e-14      -2.067592127247e-13       1.526895850128e-16       3.718264151893e-11       4.166443443245e-12      -8.790772126349e-15 
   60       2.158185134930e-10       2.778067957241e-14      -2.471593534482e-13       1.579244966585e-16       3.579718856163e-11       4.026248414939e-12      -8.815070243444e-15 
   61       2.187239393865e-10       2.918867817746e-14      -2.893373914868e-13       1.632463371278e-16       3.447342255315e-11       3.892362031306e-12      -8.953120186872e-15 
   62       2.216527991736e-10       3.063370700137e-14      -3.332828294902e-13       1.686551164205e-16       3.321003871806e-11       3.764706000909e-12      -9.196914952573e-15 
   63       2.246072840044e-10       3.211525890121e-14      -3.789822942263e-13       1.741509129570e-16       3.200710743358e-11       3.643270261613e-12      -9.520799002871e-15 
   64       2.275890063414e-10       3.363275515029e-14      -4.264193442202e-13       1.797338324500e-16       3.086331765517e-11       3.527898310393e-12      -9.894865975700e-15 
   65       2.305989549474e-10       3.518554381269e-14      -4.755744210892e-13       1.854040093469e-16       2.977589824873e-11       3.418278889595e-12      -1.028477929873e-14 
   66       2.336374498736e-10       3.677289811773e-14      -5.264248008767e-13       1.911616082733e-16       2.874053932277e-11       3.313937673202e-12      -1.065159280349e-14 
   67       2.367040974468e-10       3.839401483447e-14      -5.789445453878e-13       1.970068254762e-16       2.775131356060e-11       3.214228953096e-12      -1.095157133948e-14 
   68       2.397983744010e-10       4.004801609773e-14      -6.331075658731e-13       2.029398751677e-16       2.680226003374e-11       3.118505368124e-12      -1.114608260266e-14 
   69       2.429216183276e-10       4.173395894938e-14      -6.888976437319e-13       2.089609421182e-16       2.589268414978e-11       3.026685611205e-12      -1.123400109006e-14 
   70       2.460753615341e-10       4.345082481909e-14      -7.463003621719e-13       2.150702220057e-16       2.502279522542e-11       2.938787348006e-12      -1.122557795062e-14 
   71       2.492607091828e-10       4.519751473422e-14      -8.053002038931e-13       2.212679367030e-16       2.419210352325e-11       2.854755659352e-12      -1.113302750637e-14 
   72       2.524783103696e-10       4.697284778256e-14      -8.658805820220e-13       2.275543353349e-16       2.339938410258e-11       2.774459281018e-12      -1.097060544235e-14 
   73       2.557283292018e-10       4.877555957509e-14      -9.280238710458e-13       2.339296953349e-16       2.264264067035e-11       2.697686843513e-12      -1.075468699659e-14 
   74       2.590104158773e-10       5.060430070876e-14      -9.917114377468e-13       2.403943235022e-16       2.191906943202e-11       2.624143111871e-12      -1.050384514998e-14 
   75       2.623236777624e-10       5.245763522924e-14      -1.056923672137e-12       2.469485570588e-16       2.122502294243e-11       2.553445225435e-12      -1.023892881627e-14 
   76       2.656671571646e-10       5.433411176183e-14      -1.123636468933e-12       2.535927044170e-16       2.055691600146e-11       2.485218790416e-12      -9.979207391628e-15 
   77       2.690414291651e-10       5.623249527708e-14      -1.191809862859e-12       2.603268526769e-16       1.991421396442e-11       2.419414699614e-12      -9.729819888721e-15 
   78       2.724472439679e-10       5.815157499229e-14      -1.261397367511e-12       2.671510267827e-16       1.929692622054e-11       2.356043523169e-12      -9.492168513686e-15 
   79       2.758850278227e-10       6.009009540634e-14      -1.332349299789e-12       2.740652465206e-16       1.870469593201e-11       2.295079096176e-12      -9.267646833330e-15 
   80       2.793548644934e-10       6.204675625263e-14      -1.404612738047e-12       2.810695263400e-16       1.813678320216e-11       2.236456806034e-12      -9.057637302596e-15 
   81       2.828564767271e-10       6.402021245189e-14      -1.478131480246e-12       2.881638751741e-16       1.759204824382e-11       2.180071879792e-12      -8.863508792014e-15 
   82       2.863892077220e-10       6.600907406517e-14      -1.552846002098e-12       2.953482962604e-16       1.706893454750e-11       2.125777671506e-12      -8.686614115159e-15 
