# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 20500, i.e. number of multipoles equal to 20499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.679181564994e-10       8.882192162903e-15       2.175631821791e-13       0.000000000000e+00       7.761925033404e-11       8.117806392439e-12      -9.701628163153e-15 
   43       1.703487595540e-10       9.603565623645e-15       2.052957969656e-13       0.000000000000e+00       7.391716510299e-11       7.761603730203e-12      -8.439144315799e-15 
   44       1.728068553058e-10       1.036101159265e-14       1.914740057447e-13       0.000000000000e+00       7.045220247452e-11       7.426847091196e-12      -7.212124544467e-15 
   45       1.752966931779e-10       1.115493320880e-14       1.761873919079e-13       0.000000000000e+00       6.719066386870e-11       7.111068430178e-12      -6.385612300107e-15 
   46       1.778197562619e-10       1.198579514817e-14       1.594328794578e-13       0.000000000000e+00       6.412742913369e-11       6.814021337257e-12      -5.994515668575e-15 
   47       1.803745716538e-10       1.285404667014e-14       1.411812876334e-13       0.000000000000e+00       6.125894410398e-11       6.535467419365e-12      -5.968869153917e-15 
   48       1.829564751335e-10       1.376009135191e-14       1.214024596801e-13       0.000000000000e+00       5.857255440512e-11       6.274296017848e-12      -6.218530299420e-15 
   49       1.855573479448e-10       1.470428535492e-14       1.000650758191e-13       0.000000000000e+00       5.604582863125e-11       6.028458742593e-12      -6.631975376202e-15 
   50       1.881689008050e-10       1.568691593042e-14       7.713640840026e-14       0.000000000000e+00       5.365331713591e-11       5.795579242078e-12      -7.096312999306e-15 
   51       1.907941874898e-10       1.670813407998e-14       5.258194292284e-14       0.000000000000e+00       5.139056144547e-11       5.575129520771e-12      -7.566523335620e-15 
   52       1.934387614886e-10       1.776800061981e-14       2.636533085082e-14       0.000000000000e+00       4.925543200048e-11       5.366731196707e-12      -8.012931370150e-15 
   53       1.961073079134e-10       1.886650174360e-14      -1.551746812060e-15       0.000000000000e+00       4.724094298464e-11       5.169499005575e-12      -8.401430667464e-15 
   54       1.988035472076e-10       2.000354635904e-14      -3.120976927396e-14       0.000000000000e+00       4.533492541358e-11       4.982007110647e-12      -8.693277550983e-15 
   55       2.015301768714e-10       2.117900051888e-14      -6.264532255557e-14       0.000000000000e+00       4.352374187494e-11       4.802727196793e-12      -8.857376616122e-15 
   56       2.042889002835e-10       2.239280683249e-14      -9.587074359932e-14       0.000000000000e+00       4.180526032429e-11       4.631547378926e-12      -8.911182753733e-15 
   57       2.070802363766e-10       2.364489005333e-14      -1.308897516848e-13       0.000000000000e+00       4.017853064793e-11       4.468571612223e-12      -8.889599556238e-15 
   58       2.099033894993e-10       2.493512139153e-14      -1.677031962065e-13       0.000000000000e+00       3.863985963215e-11       4.313665991681e-12      -8.833652965276e-15 
   59       2.127561546059e-10       2.626331729561e-14      -2.063090031854e-13       0.000000000000e+00       3.718264151893e-11       4.166443443245e-12      -8.790772126349e-15 
   60       2.156348224453e-10       2.762923823419e-14      -2.467021217816e-13       0.000000000000e+00       3.579718856163e-11       4.026248414939e-12      -8.815070243444e-15 
   61       2.185356545925e-10       2.903257457570e-14      -2.888746217049e-13       0.000000000000e+00       3.447342255315e-11       3.892362031306e-12      -8.953120186872e-15 
   62       2.214599099259e-10       3.047290327987e-14      -3.328161320053e-13       0.000000000000e+00       3.321003871806e-11       3.764706000909e-12      -9.196914952573e-15 
   63       2.244097832877e-10       3.194971927905e-14      -3.785134063064e-13       0.000000000000e+00       3.200710743358e-11       3.643270261613e-12      -9.520799002871e-15 
   64       2.273868910917e-10       3.346244592701e-14      -4.259501328622e-13       0.000000000000e+00       3.086331765517e-11       3.527898310393e-12      -9.894865975700e-15 
   65       2.303922263216e-10       3.501043337128e-14      -4.751068858567e-13       0.000000000000e+00       2.977589824873e-11       3.418278889595e-12      -1.028477929873e-14 
   66       2.334261135310e-10       3.659295692549e-14      -5.259610767040e-13       0.000000000000e+00       2.874053932277e-11       3.313937673202e-12      -1.065159280349e-14 
   67       2.364881638419e-10       3.820921544168e-14      -5.784869053482e-13       0.000000000000e+00       2.775131356060e-11       3.214228953096e-12      -1.095157133948e-14 
   68       2.395778589775e-10       3.985833309597e-14      -6.326584241587e-13       0.000000000000e+00       2.680226003374e-11       3.118505368124e-12      -1.114608260266e-14 
   69       2.426965413691e-10       4.153936880376e-14      -6.884595593932e-13       0.000000000000e+00       2.589268414978e-11       3.026685611205e-12      -1.123400109006e-14 
   70       2.458457483085e-10       4.325130579704e-14      -7.458760421898e-13       0.000000000000e+00       2.502279522542e-11       2.938787348006e-12      -1.122557795062e-14 
   71       2.490265901991e-10       4.499304686717e-14      -8.048925059911e-13       0.000000000000e+00       2.419210352325e-11       2.854755659352e-12      -1.113302750637e-14 
   72       2.522397216432e-10       4.676341282454e-14      -8.654925174499e-13       0.000000000000e+00       2.339938410258e-11       2.774459281018e-12      -1.097060544235e-14 
   73       2.554853125289e-10       4.856114095815e-14      -9.276586073354e-13       0.000000000000e+00       2.264264067035e-11       2.697686843513e-12      -1.075468699659e-14 
