# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.417899833626e+04       1.417899833626e-10       1.417899833626e+18       2.675958164815e-09       2.751560535470e+44       2.470083124439e+33       1.338518017433e+34       3.426601706359e-08       1.903443976270e+44       4.655004511899e+44       5.370564074879e-18       2.000000000017e+00 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.417899833626e+04       1.427825132461e-10       1.408043528924e+18       2.694689871968e-09       2.675846458098e+44       2.418929198976e+33       1.310798119985e+34       3.426601706359e-08       1.851067333040e+44       4.526913791294e+44       5.446015129567e-18       2.000000000016e+00 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.417899833626e+04       1.437819908389e-10       1.398255738752e+18       2.713552701072e-09       2.602215788102e+44       2.368834640326e+33       1.283652284825e+34       3.426601706359e-08       1.800131926217e+44       4.402347714471e+44       5.522526196123e-18       2.000000000014e+00 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.417899833626e+04       1.447884647747e-10       1.388535986844e+18       2.732547569979e-09       2.530611196824e+44       2.319777509646e+33       1.257068623470e+34       3.426601706359e-08       1.750598097619e+44       4.281209294592e+44       5.600112166653e-18       2.000000000013e+00 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.417899833626e+04       1.458019840282e-10       1.378883800243e+18       2.751675402969e-09       2.460976933110e+44       2.271736322430e+33       1.231035493641e+34       3.426601706359e-08       1.702427280332e+44       4.163404213587e+44       5.678788142483e-18       2.000000000012e+00 
       9.657231609767e+13       8.104580338271e-26       4.800313035958e-09       2.012173140839e+22       1.417899833626e+04       1.468225979164e-10       1.369298709278e+18       2.770937130790e-09       2.393258779894e+44       2.224690039105e+33       1.205541494163e+34       3.426601706359e-08       1.655581968676e+44       4.048840748713e+44       5.758569437097e-18       2.000000000011e+00 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.417899833626e+04       1.478503561018e-10       1.359780247545e+18       2.790333690705e-09       2.327404011992e+44       2.178618055812e+33       1.180575459974e+34       3.426601706359e-08       1.610025689010e+44       3.937429701143e+44       5.839471579119e-18       2.000000000010e+00 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.417899833626e+04       1.488853085945e-10       1.350327951882e+18       2.809866026540e-09       2.263361355047e+44       2.133500195390e+33       1.156126457231e+34       3.426601706359e-08       1.565722971328e+44       3.829084326512e+44       5.921510315335e-18       2.000000000009e+00 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.417899833626e+04       1.499275057546e-10       1.340941362345e+18       2.829535088726e-09       2.201080945604e+44       2.089316698530e+33       1.132183778528e+34       3.426601706359e-08       1.522639321645e+44       3.723720267383e+44       6.004701613755e-18       2.000000000007e+00 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.417899833626e+04       1.509769982949e-10       1.331620022190e+18       2.849341834347e-09       2.140514292293e+44       2.046048215130e+33       1.108736938199e+34       3.426601706359e-08       1.480741195137e+44       3.621255487562e+44       6.089061666727e-18       2.000000000006e+00 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.417899833626e+04       1.520338372830e-10       1.322363477845e+18       2.869287227187e-09       2.081614238068e+44       2.003675795816e+33       1.085775667732e+34       3.426601706359e-08       1.439995970030e+44       3.521610208226e+44       6.174606894083e-18       2.000000000005e+00 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.417899833626e+04       1.530980741440e-10       1.313171278893e+18       2.889372237777e-09       2.024334923495e+44       1.962180883641e+33       1.063289911270e+34       3.426601706359e-08       1.400371922191e+44       3.424706845811e+44       6.261353946338e-18       2.000000000004e+00 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.417899833626e+04       1.541697606630e-10       1.304042978046e+18       2.909597843442e-09       1.968631751041e+44       1.921545305966e+33       1.041269821206e+34       3.426601706359e-08       1.361838200436e+44       3.330469951600e+44       6.349319707931e-18       2.000000000003e+00 
       9.133072029615e+13       9.061541014588e-26       5.074980435893e-09       1.799673901845e+22       1.417899833626e+04       1.552489489876e-10       1.294978131129e+18       2.929965028346e-09       1.914461350357e+44       1.881751266493e+33       1.019705753870e+34       3.426601706359e-08       1.324364802505e+44       3.238826152983e+44       6.438521300507e-18       2.000000000002e+00 
