# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.137956236802e+03       3.456267991474e-04       2.715095947389e+02       5.590990122756e+00       1.390748874153e+04       1.221073145056e+01       1.584002104041e+07       1.404562158257e+02       4.630279637690e+00       3.649494217521e+00       1.977631325981e+01       3.426601706359e-08       3.203083403470e+00       3.125917055276e+01       1.393089172521e+04       1.353615191777e+00 
       1.130028653135e+03       3.497246287085e-04       2.729355843190e+02       5.527891296392e+00       1.390606275195e+04       1.229505787798e+01       1.572815542474e+07       1.411084745106e+02       4.502705069705e+00       3.573817660620e+00       1.936622813390e+01       3.426601706359e-08       3.114831286235e+00       3.055758218473e+01       1.406315483720e+04       1.352128959648e+00 
       1.122156230680e+03       3.538692334945e-04       2.743678122966e+02       5.465529399754e+00       1.390463052397e+04       1.237996117027e+01       1.561707240830e+07       1.417627335139e+02       4.378645187633e+00       3.499710178936e+00       1.896464569937e+01       3.426601706359e-08       3.029010519371e+00       2.987201161958e+01       1.419652676291e+04       1.350645664425e+00 
       1.114338585805e+03       3.580611283996e-04       2.758062994110e+02       5.403895470544e+00       1.390319203685e+04       1.246544521440e+01       1.550676654455e+07       1.424189922310e+02       4.258003170331e+00       3.427139243355e+00       1.857138968359e+01       3.426601706359e-08       2.945554125024e+00       2.920208625656e+01       1.433101553774e+04       1.349165327110e+00 
       1.106575337542e+03       3.623008338290e-04       2.772510664579e+02       5.342980660167e+00       1.390174726981e+04       1.255151392289e+01       1.539723242478e+07       1.430772500182e+02       4.140684863583e+00       3.356072999044e+00       1.818628746779e+01       3.426601706359e-08       2.864396970236e+00       2.854744233492e+01       1.446662924881e+04       1.347687968492e+00 
       1.098866107574e+03       3.665888757561e-04       2.787021342898e+02       5.282776232237e+00       1.390029620197e+04       1.263817123398e+01       1.528846467780e+07       1.437375061927e+02       4.026598706650e+00       3.286480251473e+00       1.780917001136e+01       3.426601706359e-08       2.785475716136e+00       2.790772471988e+01       1.460337603542e+04       1.346213609157e+00 
       1.091210520213e+03       3.709257857822e-04       2.801595238166e+02       5.223273561091e+00       1.389883881245e+04       1.272542111180e+01       1.518045796970e+07       1.443997600328e+02       3.915655660834e+00       3.218330452732e+00       1.743987177764e+01       3.426601706359e-08       2.708728768524e+00       2.728258669400e+01       1.474126408929e+04       1.344742269477e+00 
       1.083608202380e+03       3.753121011952e-04       2.816232560052e+02       5.164464130342e+00       1.389737508026e+04       1.281326754654e+01       1.507320700359e+07       1.450640107777e+02       3.807769140024e+00       3.151593688129e+00       1.707823066135e+01       3.426601706359e-08       2.634096229821e+00       2.667168975359e+01       1.488030165502e+04       1.343273969617e+00 
       1.076058783591e+03       3.797483650298e-04       2.830933518806e+02       5.106339531429e+00       1.389590498438e+04       1.290171455457e+01       1.496670651937e+07       1.457302576278e+02       3.702854943140e+00       3.086240663066e+00       1.672408791742e+01       3.426601706359e-08       2.561519852340e+00       2.607470341024e+01       1.502049703039e+04       1.341808729530e+00 
       1.068561895937e+03       3.842351261284e-04       2.845698325257e+02       5.048891462208e+00       1.389442850374e+04       1.299076617868e+01       1.486095129342e+07       1.463984997443e+02       3.600831188445e+00       3.022242690187e+00       1.637728809142e+01       3.426601706359e-08       2.490942992843e+00       2.549130499716e+01       1.516185856673e+04       1.340346568958e+00 
       1.061117174066e+03       3.887729392019e-04       2.860527190816e+02       4.992111725547e+00       1.389294561718e+04       1.308042648816e+01       1.475593613837e+07       1.470687362498e+02       3.501618249667e+00       2.959571676793e+00       1.603767895127e+01       3.426601706359e-08       2.422310568351e+00       2.492117948035e+01       1.530439466931e+04       1.338887507433e+00 
       1.053724255165e+03       3.933623648923e-04       2.875420327483e+02       4.935992227949e+00       1.389145630352e+04       1.317069957905e+01       1.465165590289e+07       1.477409662279e+02       3.405138693875e+00       2.898200112518e+00       1.570511142054e+01       3.426601706359e-08       2.355569013172e+00       2.436401927437e+01       1.544811379770e+04       1.337431564274e+00 
       1.046382778944e+03       3.980039698346e-04       2.890377947846e+02       4.880524978185e+00       1.388996054148e+04       1.326158957423e+01       1.454810547136e+07       1.484151887234e+02       3.311317221071e+00       2.838101057258e+00       1.537943951298e+01       3.426601706359e-08       2.290666237111e+00       2.381952406269e+01       1.559302446613e+04       1.335978758590e+00 
       1.039092387616e+03       4.026983267204e-04       2.905400265087e+02       4.825702085956e+00       1.388845830976e+04       1.335310062367e+01       1.444527976370e+07       1.490914027427e+02       3.220080605443e+00       2.779248129352e+00       1.506052026851e+01       3.426601706359e-08       2.227551584828e+00       2.328740062240e+01       1.573913524389e+04       1.334529109275e+00 
       1.031852725881e+03       4.074460143618e-04       2.920487492984e+02       4.771515760567e+00       1.388694958697e+04       1.344523690453e+01       1.434317373508e+07       1.497696072529e+02       3.131357638236e+00       2.721615494009e+00       1.474821369051e+01       3.426601706359e-08       2.166175796321e+00       2.276736265334e+01       1.588645475567e+04       1.333082635013e+00 
       1.024663440910e+03       4.122476177559e-04       2.935639845913e+02       4.717958309615e+00       1.388543435167e+04       1.353800262136e+01       1.424178237567e+07       1.504498011831e+02       3.045079072194e+00       2.665177851973e+00       1.444238268434e+01       3.426601706359e-08       2.106490968495e+00       2.225913061127e+01       1.603499168199e+04       1.331639354273e+00 
