# lensed spectra
# l, f1*TT, f1*EE, f1*BB, f1*TE
# f1 = l(l+1)/(2pi)
# everything is in muK^2
     2    0.10564E+04    0.37520E-01    0.19557E-05    0.29349E+01
     3    0.99977E+03    0.53328E-01    0.39120E-05    0.34257E+01
     4    0.94436E+03    0.51983E-01    0.65211E-05    0.33351E+01
     5    0.90215E+03    0.39609E-01    0.97839E-05    0.29464E+01
     6    0.87255E+03    0.25112E-01    0.13701E-04    0.24567E+01
     7    0.85307E+03    0.14188E-01    0.18274E-04    0.19822E+01
     8    0.84085E+03    0.81559E-02    0.23503E-04    0.15838E+01
     9    0.83436E+03    0.56454E-02    0.29389E-04    0.12818E+01
    10    0.83218E+03    0.47441E-02    0.35935E-04    0.10793E+01
    11    0.83287E+03    0.42222E-02    0.43142E-04    0.96763E+00
    12    0.83695E+03    0.38029E-02    0.51011E-04    0.93211E+00
    13    0.84272E+03    0.32674E-02    0.59544E-04    0.94738E+00
    14    0.84926E+03    0.30367E-02    0.68743E-04    0.98749E+00
    15    0.85696E+03    0.30843E-02    0.78610E-04    0.10417E+01
    16    0.86631E+03    0.32641E-02    0.89146E-04    0.11038E+01
    17    0.87730E+03    0.36196E-02    0.10035E-03    0.11681E+01
    18    0.88898E+03    0.40566E-02    0.11224E-03    0.12311E+01
    19    0.90219E+03    0.45890E-02    0.12479E-03    0.12922E+01
    20    0.91523E+03    0.52990E-02    0.13803E-03    0.13494E+01
    21    0.92848E+03    0.61655E-02    0.15194E-03    0.14073E+01
    22    0.94225E+03    0.72218E-02    0.16653E-03    0.14699E+01
    23    0.95634E+03    0.84606E-02    0.18181E-03    0.15358E+01
    24    0.97083E+03    0.98395E-02    0.19777E-03    0.16025E+01
    25    0.98567E+03    0.11389E-01    0.21442E-03    0.16677E+01
    26    0.10007E+04    0.13110E-01    0.23176E-03    0.17307E+01
    27    0.10161E+04    0.14984E-01    0.24978E-03    0.17887E+01
    28    0.10318E+04    0.17018E-01    0.26850E-03    0.18398E+01
    29    0.10479E+04    0.19225E-01    0.28791E-03    0.18832E+01
    30    0.10641E+04    0.21626E-01    0.30801E-03    0.19172E+01
    31    0.10804E+04    0.24231E-01    0.32881E-03    0.19430E+01
    32    0.10971E+04    0.27037E-01    0.35030E-03    0.19616E+01
    33    0.11141E+04    0.30044E-01    0.37249E-03    0.19708E+01
    34    0.11313E+04    0.33266E-01    0.39537E-03    0.19695E+01
    35    0.11487E+04    0.36725E-01    0.41896E-03    0.19606E+01
    36    0.11661E+04    0.40441E-01    0.44324E-03    0.19457E+01
    37    0.11836E+04    0.44401E-01    0.46821E-03    0.19223E+01
    38    0.12015E+04    0.48595E-01    0.49389E-03    0.18889E+01
    39    0.12198E+04    0.53028E-01    0.52026E-03    0.18453E+01
    40    0.12382E+04    0.57712E-01    0.54733E-03    0.17913E+01
    41    0.12568E+04    0.62663E-01    0.57509E-03    0.17262E+01
    42    0.12754E+04    0.67890E-01    0.60355E-03    0.16492E+01
    43    0.12942E+04    0.73402E-01    0.63271E-03    0.15595E+01
    44    0.13129E+04    0.79189E-01    0.66256E-03    0.14570E+01
    45    0.13321E+04    0.85256E-01    0.69311E-03    0.13420E+01
    46    0.13514E+04    0.91606E-01    0.72435E-03    0.12127E+01
