    38    0.11701E+04    0.21240E+01    0.26545E-04    0.21240E+01    0.29592E+00    0.18458E-05    0.26545E-04    0.18458E-05    0.95336E-10
    39    0.11877E+04    0.19863E+01    0.25245E-04    0.19863E+01    0.30029E+00    0.16729E-05    0.25245E-04    0.16729E-05    0.90395E-10
    40    0.12053E+04    0.18412E+01    0.24031E-04    0.18412E+01    0.29887E+00    0.14810E-05    0.24031E-04    0.14810E-05    0.85796E-10
    41    0.12231E+04    0.16914E+01    0.22895E-04    0.16914E+01    0.29104E+00    0.12771E-05    0.22895E-04    0.12771E-05    0.81504E-10
    42    0.12409E+04    0.15374E+01    0.21832E-04    0.15374E+01    0.27796E+00    0.10650E-05    0.21832E-04    0.10650E-05    0.77498E-10
    43    0.12589E+04    0.13796E+01    0.20837E-04    0.13796E+01    0.26125E+00    0.84831E-06    0.20837E-04    0.84831E-06    0.73759E-10
    44    0.12769E+04    0.12192E+01    0.19907E-04    0.12192E+01    0.24253E+00    0.63026E-06    0.19907E-04    0.63026E-06    0.70271E-10
    45    0.12952E+04    0.10575E+01    0.19035E-04    0.10575E+01    0.22342E+00    0.41423E-06    0.19035E-04    0.41423E-06    0.67013E-10
    46    0.13139E+04    0.89330E+00    0.18218E-04    0.89330E+00    0.20553E+00    0.20360E-06    0.18218E-04    0.20360E-06    0.63970E-10
    47    0.13327E+04    0.72598E+00    0.17451E-04    0.72598E+00    0.19045E+00    0.17282E-08    0.17451E-04    0.17282E-08    0.61121E-10
    48    0.13515E+04    0.55752E+00    0.16729E-04    0.55752E+00    0.17978E+00   -0.18803E-06    0.16729E-04   -0.18803E-06    0.58449E-10
    49    0.13706E+04    0.38935E+00    0.16047E-04    0.38935E+00    0.17508E+00   -0.36231E-06    0.16047E-04   -0.36231E-06    0.55937E-10
    50    0.13900E+04    0.21611E+00    0.15402E-04    0.21611E+00    0.17790E+00   -0.51774E-06    0.15402E-04   -0.51774E-06    0.53565E-10
    51    0.14095E+04    0.31747E-01    0.14788E-04    0.31747E-01    0.18927E+00   -0.65170E-06    0.14788E-04   -0.65170E-06    0.51317E-10
    52    0.14294E+04   -0.16696E+00    0.14203E-04   -0.16696E+00    0.20821E+00   -0.76452E-06    0.14203E-04   -0.76452E-06    0.49187E-10
    53    0.14494E+04   -0.38067E+00    0.13648E-04   -0.38067E+00    0.23325E+00   -0.85725E-06    0.13648E-04   -0.85725E-06    0.47168E-10
    54    0.14693E+04   -0.60206E+00    0.13120E-04   -0.60206E+00    0.26279E+00   -0.93094E-06    0.13120E-04   -0.93094E-06    0.45255E-10
    55    0.14893E+04   -0.82370E+00    0.12618E-04   -0.82370E+00    0.29519E+00   -0.98665E-06    0.12618E-04   -0.98665E-06    0.43443E-10
    56    0.15097E+04   -0.10453E+01    0.12141E-04   -0.10453E+01    0.32870E+00   -0.10254E-05    0.12141E-04   -0.10254E-05    0.41725E-10
    57    0.15305E+04   -0.12688E+01    0.11688E-04   -0.12688E+01    0.36154E+00   -0.10484E-05    0.11688E-04   -0.10484E-05    0.40097E-10
    58    0.15515E+04   -0.14981E+01    0.11257E-04   -0.14981E+01    0.39203E+00   -0.10565E-05    0.11257E-04   -0.10565E-05    0.38552E-10
    59    0.15728E+04   -0.17368E+01    0.10847E-04   -0.17368E+01    0.41854E+00   -0.10509E-05    0.10847E-04   -0.10509E-05    0.37085E-10
    60    0.15942E+04   -0.19874E+01    0.10458E-04   -0.19874E+01    0.43943E+00   -0.10325E-05    0.10458E-04   -0.10325E-05    0.35691E-10
    61    0.16161E+04   -0.22516E+01    0.10087E-04   -0.22516E+01    0.45357E+00   -0.10026E-05    0.10087E-04   -0.10026E-05    0.34364E-10
    62    0.16378E+04   -0.25308E+01    0.97333E-05   -0.25308E+01    0.46151E+00   -0.96240E-06    0.97333E-05   -0.96240E-06    0.33101E-10
    63    0.16597E+04   -0.28258E+01    0.93969E-05   -0.28258E+01    0.46423E+00   -0.91319E-06    0.93969E-05   -0.91319E-06    0.31898E-10
    64    0.16819E+04   -0.31380E+01    0.90765E-05   -0.31380E+01    0.46274E+00   -0.85631E-06    0.90765E-05   -0.85631E-06    0.30754E-10
    65    0.17041E+04   -0.34680E+01    0.87711E-05   -0.34680E+01    0.45805E+00   -0.79310E-06    0.87711E-05   -0.79310E-06    0.29664E-10
    66    0.17267E+04   -0.38137E+01    0.84798E-05   -0.38137E+01    0.45108E+00   -0.72486E-06    0.84798E-05   -0.72486E-06    0.28625E-10
    67    0.17493E+04   -0.41723E+01    0.82017E-05   -0.41723E+01    0.44280E+00   -0.65294E-06    0.82017E-05   -0.65294E-06    0.27635E-10
    68    0.17725E+04   -0.45417E+01    0.79359E-05   -0.45417E+01    0.43422E+00   -0.57865E-06    0.79359E-05   -0.57865E-06    0.26690E-10
    69    0.17958E+04   -0.49200E+01    0.76816E-05   -0.49200E+01    0.42624E+00   -0.50332E-06    0.76816E-05   -0.50332E-06    0.25787E-10
    70    0.18194E+04   -0.53087E+01    0.74377E-05   -0.53087E+01    0.41986E+00   -0.42827E-06    0.74377E-05   -0.42827E-06    0.24923E-10
    71    0.18433E+04   -0.57099E+01    0.72035E-05   -0.57099E+01    0.41585E+00   -0.35468E-06    0.72035E-05   -0.35468E-06    0.24096E-10
    72    0.18673E+04   -0.61258E+01    0.69786E-05   -0.61258E+01    0.41426E+00   -0.28315E-06    0.69786E-05   -0.28315E-06    0.23303E-10
    73    0.18915E+04   -0.65578E+01    0.67626E-05   -0.65578E+01    0.41495E+00   -0.21416E-06    0.67626E-05   -0.21416E-06    0.22544E-10
    74    0.19159E+04   -0.70057E+01    0.65551E-05   -0.70057E+01    0.41781E+00   -0.14815E-06    0.65551E-05   -0.14815E-06    0.21816E-10
    75    0.19404E+04   -0.74690E+01    0.63558E-05   -0.74690E+01    0.42275E+00   -0.85595E-07    0.63558E-05   -0.85595E-07    0.21119E-10
    76    0.19651E+04   -0.79476E+01    0.61645E-05   -0.79476E+01    0.42966E+00   -0.26951E-07    0.61645E-05   -0.26951E-07    0.20450E-10
    77    0.19901E+04   -0.84409E+01    0.59807E-05   -0.84409E+01    0.43840E+00    0.27320E-07    0.59807E-05    0.27320E-07    0.19809E-10
    78    0.20154E+04   -0.89497E+01    0.58041E-05   -0.89497E+01    0.44888E+00    0.76757E-07    0.58041E-05    0.76757E-07    0.19194E-10
    79    0.20408E+04   -0.94696E+01    0.56343E-05   -0.94696E+01    0.46090E+00    0.12090E-06    0.56343E-05    0.12090E-06    0.18604E-10
    80    0.20666E+04   -0.10001E+02    0.54711E-05   -0.10001E+02    0.47433E+00    0.15928E-06    0.54711E-05    0.15928E-06    0.18037E-10
    81    0.20927E+04   -0.10545E+02    0.53140E-05   -0.10545E+02    0.48899E+00    0.19159E-06    0.53140E-05    0.19159E-06    0.17492E-10
    82    0.21191E+04   -0.11099E+02    0.51629E-05   -0.11099E+02    0.50470E+00    0.21809E-06    0.51629E-05    0.21809E-06    0.16968E-10
    83    0.21458E+04   -0.11663E+02    0.50174E-05   -0.11663E+02    0.52127E+00    0.23919E-06    0.50174E-05    0.23919E-06    0.16465E-10
    84    0.21728E+04   -0.12236E+02    0.48773E-05   -0.12236E+02    0.53848E+00    0.25530E-06    0.48773E-05    0.25530E-06    0.15980E-10
    85    0.22000E+04   -0.12818E+02    0.47423E-05   -0.12818E+02    0.55612E+00    0.26681E-06    0.47423E-05    0.26681E-06    0.15514E-10
    86    0.22274E+04   -0.13409E+02    0.46122E-05   -0.13409E+02    0.57402E+00    0.27415E-06    0.46122E-05    0.27415E-06    0.15065E-10
    87    0.22552E+04   -0.14007E+02    0.44866E-05   -0.14007E+02    0.59195E+00    0.27772E-06    0.44866E-05    0.27772E-06    0.14633E-10
    88    0.22831E+04   -0.14612E+02    0.43654E-05   -0.14612E+02    0.60973E+00    0.27793E-06    0.43654E-05    0.27793E-06    0.14217E-10
    89    0.23113E+04   -0.15225E+02    0.42482E-05   -0.15225E+02    0.62714E+00    0.27518E-06    0.42482E-05    0.27518E-06    0.13816E-10
    90    0.23397E+04   -0.15842E+02    0.41347E-05   -0.15842E+02    0.64397E+00    0.26989E-06    0.41347E-05    0.26989E-06    0.13429E-10
    91    0.23682E+04   -0.16465E+02    0.40248E-05   -0.16465E+02    0.66004E+00    0.26242E-06    0.40248E-05    0.26242E-06    0.13055E-10
    92    0.23970E+04   -0.17091E+02    0.39183E-05   -0.17091E+02    0.67536E+00    0.25300E-06    0.39183E-05    0.25300E-06    0.12694E-10
    93    0.24261E+04   -0.17722E+02    0.38152E-05   -0.17722E+02    0.68998E+00    0.24183E-06    0.38152E-05    0.24183E-06    0.12345E-10
    94    0.24552E+04   -0.18356E+02    0.37152E-05   -0.18356E+02    0.70393E+00    0.22911E-06    0.37152E-05    0.22911E-06    0.12008E-10
    95    0.24846E+04   -0.18994E+02    0.36184E-05   -0.18994E+02    0.71726E+00    0.21501E-06    0.36184E-05    0.21501E-06    0.11683E-10
    96    0.25139E+04   -0.19634E+02    0.35247E-05   -0.19634E+02    0.73002E+00    0.19975E-06    0.35247E-05    0.19975E-06    0.11369E-10
    97    0.25437E+04   -0.20276E+02    0.34340E-05   -0.20276E+02    0.74225E+00    0.18350E-06    0.34340E-05    0.18350E-06    0.11066E-10
    98    0.25737E+04   -0.20919E+02    0.33461E-05   -0.20919E+02    0.75400E+00    0.16647E-06    0.33461E-05    0.16647E-06    0.10774E-10
    99    0.26038E+04   -0.21564E+02    0.32610E-05   -0.21564E+02    0.76530E+00    0.14884E-06    0.32610E-05    0.14884E-06    0.10492E-10
   100    0.26341E+04   -0.22208E+02    0.31786E-05   -0.22208E+02    0.77621E+00    0.13082E-06    0.31786E-05    0.13082E-06    0.10219E-10
   101    0.26646E+04   -0.22853E+02    0.30988E-05   -0.22853E+02    0.78684E+00    0.11259E-06    0.30988E-05    0.11259E-06    0.99564E-11
